GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	density	extraction	digest	swga
23332839	126.712327	98.70619	110	99	0.17436	0	0.029946	0.026243	0.199085	0.309378	0.739011	0.878457	0.862776	0.84144	0.819489	0.797088	0.774835	0.753113	0.711888	0.67401	0.639242	0.607348	0.577886	0.550544	0.524753	0.872109	9	1000	Che	M	Sang
23332839	140.691305	100.029669	143	107	0.155702	0	0.033359	0.026366	0.188314	0.32847	0.732212	0.879442	0.867651	0.852155	0.835382	0.817858	0.800248	0.783075	0.749919	0.718186	0.68847	0.660421	0.634195	0.609492	0.586539	0.874528	9	1000	Che	M	Sof
23332839	108.290111	93.28017	81	71	0.18575	0	0.033386	0.028268	0.198998	0.240776	0.687177	0.877103	0.857395	0.829835	0.801313	0.772997	0.745188	0.71833	0.667731	0.620952	0.578332	0.539794	0.504426	0.472738	0.443466	0.869227	9	1000	Che	R	Sang
23332839	114.532306	93.052354	93	78	0.190482	0	0.03256	0.027617	0.20066	0.201165	0.652483	0.878134	0.862649	0.841013	0.818466	0.794876	0.770855	0.747171	0.700936	0.657101	0.616628	0.578902	0.543845	0.511167	0.480753	0.871938	9	1000	Che	R	Sof
23332839	115.496374	100.118397	85	82	0.167583	0	0.026025	0.026844	0.202212	0.354853	0.777516	0.874676	0.846291	0.81127	0.778301	0.747448	0.71913	0.693175	0.647422	0.607212	0.572191	0.54154	0.514367	0.489967	0.467235	0.863618	9	1000	Qia	M	Sang
23332839	126.311906	100.956275	108	102	0.162024	0	0.029013	0.025829	0.196486	0.349384	0.762735	0.876863	0.855329	0.827703	0.800981	0.775962	0.752525	0.730308	0.689595	0.653381	0.621197	0.592114	0.565396	0.541085	0.518683	0.868358	9	1000	Qia	M	Sof
23332839	112.454061	97.178408	83	77	0.169877	0	0.035709	0.028894	0.186657	0.34533	0.766467	0.875495	0.850422	0.819305	0.789092	0.760004	0.732337	0.705973	0.657518	0.614725	0.576346	0.541626	0.510442	0.48233	0.456965	0.865405	9	1000	Qia	R	Sang
23332839	118.583961	97.355119	95	86	0.185744	0	0.031682	0.025544	0.200621	0.294654	0.738245	0.87749	0.858521	0.832958	0.80749	0.782133	0.757296	0.733256	0.687701	0.646262	0.608733	0.574137	0.542691	0.513762	0.487055	0.869999	9	1000	Qia	R	Sof
23332839	106.974274	98.14271	71	68	0.171992	0	0.030813	0.026754	0.199572	0.3438	0.772931	0.872715	0.839034	0.799488	0.762051	0.727704	0.696335	0.668026	0.617553	0.574203	0.536741	0.504338	0.475777	0.450486	0.427813	0.859652	9	100	Che	M	Sang
23332839	86.860453	90.037644	49	47	0.150309	0	0.035679	0.027949	0.181921	0.257473	0.653331	0.869978	0.822941	0.768094	0.719878	0.677926	0.640405	0.606595	0.54811	0.498587	0.456269	0.419847	0.388544	0.361117	0.337108	0.851331	8	100	Che	M	Sof
23332839	71.026432	82.135789	35	33	0.196185	0	0.035084	0.028316	0.198065	0.206032	0.663682	0.865896	0.805194	0.736391	0.677624	0.625809	0.580881	0.541382	0.474649	0.421679	0.377424	0.340562	0.309438	0.283112	0.260057	0.842683	8	100	Che	R	Sang
23332839	77.571338	82.701316	45	41	0.198404	0	0.033924	0.026578	0.199971	0.165456	0.624333	0.870352	0.826473	0.772903	0.722907	0.676944	0.635072	0.596831	0.530521	0.474332	0.426737	0.385448	0.350338	0.320013	0.293326	0.853539	8	100	Che	R	Sof
23332839	74.853906	95.209161	21	21	0.175437	0	0.025311	0.026286	0.207485	0.412887	0.847406	0.801929	0.678334	0.601533	0.5503	0.512365	0.482332	0.457065	0.416835	0.385344	0.359732	0.337696	0.319125	0.302968	0.288685	0.755051	6	100	Qia	M	Sang
23332839	87.896337	98.244195	38	38	0.166882	0	0.029667	0.025494	0.197132	0.4031	0.822275	0.837296	0.747904	0.680702	0.631701	0.594353	0.56332	0.536776	0.492534	0.456917	0.427043	0.401843	0.379866	0.360683	0.343437	0.802638	7	100	Qia	M	Sof
23332839	66.903376	86.886639	23	23	0.204054	0	0.036279	0.027937	0.197119	0.338183	0.803572	0.82539	0.712354	0.629046	0.569997	0.524571	0.488134	0.457542	0.407628	0.368356	0.336168	0.309645	0.286879	0.267231	0.249868	0.782216	7	100	Qia	R	Sang
23332839	84.613603	94.338828	39	39	0.187448	0	0.033639	0.026621	0.196843	0.323755	0.768305	0.8458	0.768414	0.70276	0.651499	0.610654	0.575932	0.546159	0.49699	0.457213	0.4238	0.395114	0.370396	0.348794	0.329753	0.816168	7	100	Qia	R	Sof
