GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sampleName
23332821	1.272884	3.310722	1	1	0.120214	0	0.005401	0.0506	0.26155	0.000648	0.438413	0.506133	0.051483	0.008416	0.00408	0.002863	0.002208	0.00174	0.001142	0.000756	0.000533	0.000396	0.00027	0.000185	0.000134	0.268928	1	BH-Chelex-NOR-Sof-1-S44-L001
23332821	1.300162	3.380183	1	1	0.119783	0	0.005317	0.052166	0.261016	0.000823	0.439106	0.510876	0.053603	0.008466	0.004147	0.00293	0.002276	0.001798	0.001194	0.000829	0.000563	0.000396	0.0003	0.000225	0.000169	0.273992	1	BH-Chelex-NOR-Sof-1-S44-L002
23332821	1.309065	3.405699	1	1	0.118851	0	0.005409	0.05574	0.259805	0.000817	0.440622	0.513088	0.054034	0.008795	0.004155	0.002902	0.002236	0.001768	0.001226	0.000841	0.000606	0.000453	0.000327	0.000224	0.000164	0.27459	1	BH-Chelex-NOR-Sof-1-S44-L003
23332821	1.314163	3.445165	1	1	0.120458	0	0.005257	0.052971	0.261268	0.000827	0.440782	0.513386	0.054516	0.008843	0.00414	0.002945	0.00227	0.001814	0.001216	0.000835	0.000589	0.000417	0.000301	0.000237	0.000185	0.275587	1	BH-Chelex-NOR-Sof-1-S44-L004
23332821	1.638864	4.490914	1	1	0.117506	0	0.004807	0.04882	0.256325	0.002177	0.429636	0.564173	0.08596	0.014303	0.005001	0.002543	0.001686	0.001341	0.000924	0.000699	0.000584	0.000505	0.000448	0.000404	0.000359	0.323175	2	BH-Chelex-NOR-Sof-2-S45-L001
23332821	1.655816	4.511006	1	1	0.119152	0	0.004949	0.05099	0.255425	0.002152	0.432667	0.564862	0.087989	0.014754	0.004955	0.002515	0.001738	0.001382	0.000963	0.000739	0.000617	0.000514	0.000438	0.000392	0.000358	0.325234	2	BH-Chelex-NOR-Sof-2-S45-L002
23332821	1.677987	4.529385	1	1	0.119306	0	0.004783	0.054158	0.253927	0.002053	0.434227	0.569839	0.089816	0.015454	0.005122	0.002532	0.001757	0.001384	0.00096	0.000718	0.000609	0.00052	0.000459	0.0004	0.000353	0.328635	2	BH-Chelex-NOR-Sof-2-S45-L003
23332821	1.672714	4.572061	1	1	0.117727	0	0.00467	0.051043	0.256031	0.002442	0.431913	0.568489	0.089053	0.014981	0.005026	0.002599	0.00177	0.001396	0.000977	0.000716	0.000607	0.000531	0.00047	0.000415	0.000379	0.327775	2	BH-Chelex-NOR-Sof-2-S45-L004
23332821	1.882258	3.735106	1	1	0.116559	0	0.004441	0.051665	0.247769	0	0.420434	0.595899	0.108876	0.021782	0.008202	0.004672	0.003237	0.00244	0.001435	0.000896	0.000572	0.00036	0.000238	0.000146	0.000091	0.353338	2	BH-Chelex-NOR-Sof-3-S46-L001
23332821	1.920176	3.819023	1	1	0.116393	0	0.004684	0.054302	0.246242	0	0.421621	0.602367	0.111485	0.022685	0.008506	0.004908	0.00336	0.002487	0.001508	0.000906	0.000584	0.000381	0.000259	0.000173	0.000117	0.359195	2	BH-Chelex-NOR-Sof-3-S46-L002
