GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	type	density	ext	swga	rep
20782107	47.28818	60.546307	23	17	0.079133	0	0.002666	0.092934	0.291327	0.097373	0.563432	0.97693	0.875479	0.744906	0.637922	0.55367	0.486199	0.431097	0.346467	0.285451	0.240013	0.20511	0.1775	0.155204	0.137278	0.940041	12	ds	100	Che	Sang	1
20782107	47.257219	60.512516	23	17	0.079131	0	0.002662	0.092969	0.291359	0.097348	0.563469	0.977028	0.875591	0.744595	0.638219	0.553637	0.486015	0.430776	0.346418	0.285365	0.239884	0.204834	0.177271	0.155121	0.13718	0.940322	12	ds	100	Che	Sang	1
20782107	47.280426	60.538571	23	17	0.079131	0	0.002662	0.092937	0.291314	0.097305	0.563349	0.976872	0.875323	0.744191	0.637887	0.553524	0.485795	0.431121	0.346995	0.285733	0.239956	0.204909	0.177478	0.155314	0.13715	0.940124	12	ds	100	Che	Sang	2
20782107	47.257219	60.512516	23	17	0.079131	0	0.002662	0.092969	0.291359	0.097348	0.563469	0.977028	0.875591	0.744595	0.638219	0.553637	0.486015	0.430776	0.346418	0.285365	0.239884	0.204834	0.177271	0.155121	0.13718	0.940322	12	ds	100	Che	Sang	2
20782107	52.271889	59.773742	30	21	0.073466	0	0.003155	0.076833	0.303483	0.060893	0.517831	0.984188	0.91803	0.819359	0.724386	0.640397	0.567829	0.505622	0.407018	0.334491	0.279277	0.236034	0.201656	0.173925	0.151373	0.960495	14	ds	100	Che	Sof	1
20782107	52.283274	59.792706	30	21	0.073498	0	0.003168	0.076801	0.303469	0.060827	0.517764	0.984139	0.917654	0.819614	0.724899	0.640556	0.567665	0.505314	0.40698	0.334502	0.279361	0.236136	0.201727	0.174086	0.151508	0.960153	14	ds	100	Che	Sof	1
20782107	52.261883	59.760221	30	21	0.073505	0	0.003169	0.076776	0.30347	0.06085	0.517771	0.98392	0.917394	0.819109	0.723926	0.639979	0.567839	0.505551	0.407322	0.334605	0.279175	0.236015	0.201748	0.173984	0.15132	0.960114	14	ds	100	Che	Sof	2
20782107	52.283274	59.792706	30	21	0.073498	0	0.003168	0.076801	0.303469	0.060827	0.517764	0.984139	0.917654	0.819614	0.724899	0.640556	0.567665	0.505314	0.40698	0.334502	0.279361	0.236136	0.201727	0.174086	0.151508	0.960153	14	ds	100	Che	Sof	2
20782107	59.028711	82.022348	18	16	0.02147	0	0.002257	0.081816	0.307926	0.371533	0.785003	0.939453	0.75516	0.624663	0.543268	0.485592	0.440896	0.404829	0.351025	0.312226	0.283016	0.259407	0.239707	0.223372	0.209131	0.864686	9	lv	100	Che	Sang	1
20782107	41.957165	65.82408	13	11	0.155256	0	0.002373	0.060403	0.283578	0.213922	0.715532	0.944743	0.745471	0.582388	0.481618	0.412953	0.362871	0.324177	0.266199	0.22634	0.197548	0.175391	0.157669	0.143355	0.131224	0.867514	9	lv	100	Che	Sang	2
20782107	17.046585	27.414026	8	6	0.145243	0	0.003544	0.060426	0.277628	0.012594	0.499434	0.944765	0.688962	0.456206	0.32045	0.237856	0.183325	0.14592	0.099429	0.072534	0.055254	0.043117	0.034366	0.027743	0.022491	0.84988	8	lv	100	Che	Sof	1
20782107	37.754588	56.486264	16	12	0.087064	0	0.003513	0.065382	0.299153	0.110981	0.566093	0.967211	0.813372	0.641928	0.520031	0.433453	0.370586	0.322747	0.255505	0.209596	0.176355	0.151122	0.131528	0.115612	0.102747	0.911925	11	lv	100	Che	Sof	2
